ghi;irrdiffuse;temperature;wind;hydro;load_residential;load_commercial;load_industrial;load_community
kW/m2;kW/m2;Degrees;m/s;m3/s;kW;kW;kW;kW
0;0;26;1.5;0.4996;318;4.483942857;41.825236;10.4645
0;0;25;1.5;0.4996;299;4.3555;40.627028;10.1645
0;0;25;1.5;0.4996;273;6.079357143;56.70684;14.1875
0;0;25;1.65;0.4996;253;7.322285714;68.300568;17.0885
0;0;25;1.85;0.4996;241;7.3498;68.55722;17.1525
0;0;25;2.1;0.4996;235;7.112;66.33904;24.8965
0.008;0.008;25;2.2;0.4996;221;5.445742857;50.7966;31.7725
0.011;0.011;26;2.45;0.4996;225;17.53335714;49.064136;42.964
0.211;0.194;26;2.7;0.4996;235;35.17584286;49.216808;49.2545
0.126;0.126;27;2.8;0.4996;247;40.03677143;56.018036;56.061
0.441;0.379;28;2.7;0.4996;266;33.4812;46.845716;46.8815
0.536;0.441;28;2.45;0.4996;283;42.01861429;58.79096;58.836
0.728;0.428;29;2.2;0.4996;279;40.51417143;56.685996;56.7295
0.638;0.416;29;2.1;0.4996;277;38.14108571;53.36568;53.4065
0.59;0.321;29;2.1;0.4996;271;35.20388571;49.256044;49.294
0.479;0.195;28;2.1;0.4996;246;23.39418571;32.732328;32.7575
0.297;0.102;28;2.2;0.4996;242;36.73574286;51.399376;57.869
0.079;0.048;27;2.35;0.4996;253;23.94855714;41.884964;52.3965
0;0;27;2.2;0.4996;313;23.07377143;49.667696;74.559
0;0;27;2;0.4996;358;18.67578571;52.261016;78.452
0;0;27;1.65;0.4996;350;5.999228571;55.95946;84.004
0;0;27;1.05;0.4996;332;6.254057143;58.336332;87.572
0;0;27;0.35;0.4996;303;4.718842857;44.0163;49.5565
0;0;26;0.25;0.4996;267;5.096957143;47.543292;29.7375
0;0;26;0.6;0.4417;245;4.3089;40.192364;10.056
0;0;26;0.95;0.4417;229;3.413428571;31.839688;7.966
0;0;26;1.3;0.4417;218;1.192842857;11.12652;2.784
0;0;26;1.4;0.4417;208;5.000585714;46.644296;11.67
0;0;26;1.3;0.4417;198;2.683057143;25.026976;6.2615
0;0;26;1.3;0.4417;200;3.145628571;29.341656;11.0115
0.012;0.011;26;1.3;0.4417;200;2.569042857;23.963416;14.9885
0.198;0.091;26;1.3;0.4417;226;10.72455714;30.010868;26.2795
0.428;0.126;27;1.05;0.4417;246;20.47537143;28.648428;28.6705
0.637;0.139;28;0.7;0.4417;265;20.81715714;29.126648;29.149
0.801;0.132;29;0.35;0.4417;278;15.69692857;21.962604;21.9795
0.894;0.135;30;0.6;0.4417;287;18.51831429;25.910168;25.93
0.912;0.133;30;1.05;0.4417;301;24.67537143;34.524908;34.5515
0.854;0.128;30;1.5;0.4417;304;29.66602857;41.507676;41.5395
0.725;0.119;30;2;0.4417;289;29.29308571;40.985856;41.0175
0.417;0.244;29;2.35;0.4417;276;21.41101429;29.957532;29.9805
0.186;0.151;28;2.45;0.4417;274;25.1958;35.25308;39.69
0.079;0.048;28;2.45;0.4417;281;22.30798571;39.0157;48.807
0;0;27;2.2;0.4417;356;9.243671429;19.897564;29.8695
0;0;27;1.85;0.4417;387;10.23178571;28.631912;42.981
0;0;27;1.5;0.4417;370;3.5341;32.965244;49.486
0;0;27;0.95;0.4417;343;2.309985714;21.547028;32.3455
0;0;27;0.6;0.4417;308;2.5625;23.902352;26.911
0;0;27;0.7;0.4417;265;4.082142857;38.077236;23.8165
0;0;26;0.95;0.5002;230;5.627885714;52.495604;13.134
0;0;26;0.8;0.5002;214;4.214542857;39.312292;9.8355
0;0;26;0.7;0.5002;204;4.465357143;41.651748;10.421
0;0;26;0.7;0.5002;200;6.329828571;59.043136;14.772
0;0;26;0.95;0.5002;200;5.628457143;52.500956;13.1355
0;0;26;1.05;0.5002;200;6.443214286;60.100836;22.555
0.01;0.01;26;0.95;0.5002;220;4.9743;46.399056;29.0215
0.194;0.095;26;0.95;0.5002;253;12.62532857;35.329836;30.9375
0.422;0.137;27;1.05;0.5002;273;33.10561429;46.32022;46.356
0.451;0.315;28;1.3;0.5002;277;35.17012857;49.208812;49.2465
0.652;0.366;29;1.4;0.5002;290;32.46937143;45.430004;45.465
0.758;0.377;29;1.4;0.5002;302;42.66572857;59.696392;59.7425
0.903;0.159;30;1.4;0.5002;310;30.33374286;42.4419;42.4745
0.837;0.175;30;1.85;0.5002;313;32.49221429;45.461968;45.497
0.711;0.158;29;2.35;0.5002;295;30.46364286;42.623652;42.6565
0.527;0.135;29;2.55;0.5002;287;36.63807143;51.262696;51.302
0.304;0.104;28;2.7;0.5002;286;35.16164286;49.196932;55.389
0.082;0.052;27;2.55;0.5002;292;37.28034286;65.201684;81.565
0;0;27;2.2;0.5002;360;22.41065714;48.240316;72.416
0;0;27;1.75;0.5002;408;12.15888571;34.02458;51.076
0;0;27;1.4;0.5002;397;5.151442857;48.051412;72.1325
0;0;27;1.4;0.5002;376;5.265242857;49.11292;73.726
0;0;26;1.4;0.5002;335;6.602385714;61.585536;69.337
0;0;26;1.65;0.5002;292;5.710957143;53.2704;33.3195
0;0;26;1.75;0.6158;256;4.090428571;38.154604;9.546
0;0;26;1.75;0.6158;231;5.767928571;53.80194;13.461
0;0;26;1.85;0.6158;218;5.4575;50.906248;12.7365
0;0;26;2.1;0.6158;212;3.882942857;36.219172;9.062
0;0;26;2.35;0.6158;210;3.490742857;32.560768;8.1465
0;0;26;2.45;0.6158;212;4.403528571;41.075152;15.415
0.002;0.002;26;2.7;0.6158;215;5.049057143;47.09644;29.458
0.121;0.103;26;2.9;0.6158;223;10.54425714;29.506292;25.838
0.4;0.153;27;3.4;0.6158;243;23.31172857;32.616964;32.642
0.404;0.316;28;3.85;0.6158;258;21.5656;30.173836;30.197
0.429;0.374;28;4.1;0.6158;273;41.30952857;57.798852;57.8435
0.502;0.429;29;4.1;0.6158;288;30.98161429;43.348384;43.3815
0.694;0.447;29;4.1;0.6158;295;25.20698571;35.268724;35.296
0.635;0.42;29;4.1;0.6158;293;29.57902857;41.385944;41.418
0.596;0.323;29;4.2;0.6158;283;31.83564286;44.543324;44.5775
0.415;0.249;28;4.1;0.6158;278;25.84015714;36.154644;36.1825
0.212;0.153;27;3.85;0.6158;270;18.65991429;26.108288;29.3945
0.083;0.053;27;3.5;0.6158;270;20.47562857;35.810988;44.798
0;0;27;2.9;0.6158;350;21.28652857;45.820548;68.7835
0;0;26;2.7;0.6158;394;14.53705714;40.679472;61.066
0;0;26;2.55;0.6158;380;3.685314286;34.375748;51.6035
0;0;26;2.55;0.6158;353;4.517714286;42.140204;63.259
0;0;26;2.45;0.6158;316;4.824914286;45.005724;50.6705
0;0;26;2.35;0.6158;283;4.8269;45.024228;28.162
0;0;26;2.2;1.0203;253;2.955742857;27.570536;6.898
0;0;26;2;1.0203;236;3.832328571;35.7471;8.9435
0;0;26;1.75;1.0203;226;3.4865;32.52124;8.1365
0;0;26;1.75;1.0203;216;5.454485714;50.87812;12.7295
0;0;26;1.85;1.0203;210;3.226457143;30.095592;7.5295
0;0;25;2.1;1.0203;206;5.1109;47.673304;17.891
0.003;0.003;25;2.35;1.0203;209;3.258428571;30.393924;19.011
0.023;0.023;26;2.45;1.0203;227;7.367285714;20.616112;18.053
0.106;0.106;27;2.45;1.0203;254;24.56937143;34.376612;34.403
0.19;0.188;27;2.35;1.0203;258;24.15112857;33.791412;33.8175
0.212;0.207;28;2.35;1.0203;264;22.51221429;31.498312;31.5225
0.497;0.427;28;2.35;1.0203;277;19.63472857;27.472232;27.4935
0.272;0.261;29;2.45;1.0203;285;14.03114286;19.631884;19.647
0.317;0.301;28;2.35;1.0203;271;31.48194286;44.048428;44.0825
0.429;0.353;28;2.2;1.0203;255;18.28767143;25.587472;25.607
0.318;0.26;28;2.2;1.0203;247;35.38391429;49.507936;49.546
0.27;0.13;27;2.1;1.0203;444.3;15.51765714;21.711772;24.4445
0.086;0.051;27;1.85;1.0203;253;18.86578571;32.995424;41.276
0;0;27;1.15;1.0203;325;12.52957143;26.970688;40.487
0;0;26;0.6;1.0203;364;11.24155714;31.457592;47.2225
0;0;26;0.6;1.0203;350;3.2804;30.598764;45.9335
0;0;26;0.95;1.0203;322;2.260371429;21.084152;31.6505
0;0;26;1.3;1.0203;278;3.692771429;34.445356;38.781
0;0;26;1.4;1.0203;241;3.986771429;37.187672;23.26
0;0;26;1.4;1.0203;219;4.7446;44.256568;11.0725
0;0;26;1.3;1.0203;205;3.938757143;36.7398;9.192
0;0;26;1.15;1.0203;196;4.344985714;40.52902;10.14
0;0;26;1.15;1.0203;194;3.167785714;29.5483;7.393
0;0;25;1.15;1.0203;191;5.768185714;53.804264;13.4615
0;0;25;1.05;1.0203;193;4.9746;46.40196;15.6725
0.011;0.01;25;1.05;1.0203;201;4.7137;43.96832;24.751
0.198;0.079;26;0.95;1.0203;219;7.526528571;30.088148;23.7125
0.434;0.106;27;0.7;1.0203;249;12.61938571;25.223708;22.719
0.646;0.119;28;0.7;1.0203;264;13.54614286;27.076116;24.387
0.809;0.124;28;0.95;1.0203;286;18.16124286;36.300812;32.696
0.904;0.128;29;1.3;1.0203;290;13.28644286;26.557028;23.9195
0.924;0.128;29;1.75;1.0203;294;11.64982857;23.285756;20.9735
